Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
604 344 2.59 0 0.0 0 344
606 344 2.59 0 0.0 0 344
608 344 2.59 0 0.0 0 344
610 344 2.59 0 0.0 0 344
612 344 2.59 0 0.0 0 344
614 344 2.59 0 0.0 0 344
616 344 2.59 0 0.0 0 344
618 344 2.59 0 0.0 0 344
620 344 2.59 0 0.0 0 344
622 344 2.59 0 0.0 0 344
624 344 2.59 0 0.0 0 344
626 344 2.59 0 0.0 0 344
628 344 2.59 0 0.0 0 344
630 344 2.59 0 0.0 0 344
632 344 2.59 0 0.0 0 344
634 344 2.59 0 0.0 0 344
636 344 2.59 0 0.0 0 344
638 344 2.59 0 0.0 0 344
640 344 2.59 0 0.0 0 344
642 344 2.59 0 0.0 0 344
644 344 2.59 0 0.0 0 344
646 344 2.59 0 0.0 0 344
648 344 2.59 0 0.0 0 344
650 344 2.59 0 0.0 0 344
652 344 2.59 0 0.0 0 344
654 344 2.59 0 0.0 0 344
656 344 2.59 0 0.0 0 344
658 344 2.59 0 0.0 0 344
660 344 2.59 0 0.0 0 344
662 344 2.59 0 0.0 0 344
664 344 2.59 0 0.0 0 344
666 344 2.59 0 0.0 0 344
668 344 2.59 0 0.0 0 344
670 344 2.59 0 0.0 0 344
672 344 2.59 0 0.0 0 344
674 344 2.59 0 0.0 0 344
676 344 2.59 0 0.0 0 344
678 344 2.59 0 0.0 0 344
680 344 2.59 0 0.0 0 344
682 344 2.59 0 0.0 0 344
684 344 2.59 0 0.0 0 344
686 344 2.59 0 0.0 0 344
688 344 2.59 0 0.0 0 344
690 344 2.59 0 0.0 0 344
692 344 2.59 0 0.0 0 344
694 344 2.59 0 0.0 0 344
696 344 2.59 0 0.0 0 344
698 344 2.59 0 0.0 0 344
700 344 2.59 0 0.0 0 344
702 344 2.59 0 0.0 0 344
704 344 2.59 0 0.0 0 344
706 344 2.59 0 0.0 0 344
708 344 2.59 0 0.0 0 344
710 344 2.59 0 0.0 0 344
712 344 2.59 0 0.0 0 344
714 344 2.59 0 0.0 0 344
716 344 2.59 0 0.0 0 344
718 344 2.59 0 0.0 0 344
720 344 2.59 0 0.0 0 344
722 344 2.59 0 0.0 0 344
724 344 2.59 0 0.0 0 344
726 344 2.59 0 0.0 0 344
728 344 2.59 0 0.0 0 344
730 344 2.59 0 0.0 0 344
732 344 2.59 0 0.0 0 344
734 344 2.59 0 0.0 0 344
736 344 2.59 0 0.0 0 344
738 344 2.59 0 0.0 0 344
740 344 2.59 0 0.0 0 344
742 344 2.59 0 0.0 0 344
744 344 2.59 0 0.0 0 344
746 344 2.59 0 0.0 0 344
748 344 2.59 0 0.0 0 344
750 344 2.59 0 0.0 0 344
752 344 2.59 0 0.0 0 344
754 344 2.59 0 0.0 0 344
756 344 2.59 0 0.0 0 344
758 344 2.59 0 0.0 0 344
760 344 2.59 0 0.0 0 344
762 344 2.59 0 0.0 0 344
764 344 2.59 0 0.0 0 344
766 344 2.59 0 0.0 0 344
768 344 2.59 0 0.0 0 344
770 344 2.59 0 0.0 0 344
772 344 2.59 0 0.0 0 344
774 344 2.59 0 0.0 0 344
776 344 2.59 0 0.0 0 344
778 344 2.59 0 0.0 0 344
780 344 2.59 0 0.0 0 344
782 344 2.59 0 0.0 0 344
784 344 2.59 0 0.0 0 344
786 344 2.59 0 0.0 0 344
788 344 2.59 0 0.0 0 344
790 344 2.59 0 0.0 0 344
792 344 2.59 0 0.0 0 344
794 344 2.59 0 0.0 0 344
796 344 2.59 0 0.0 0 344
798 344 2.59 0 0.0 0 344
800 344 2.59 0 0.0 0 344
802 344 2.59 0 0.0 0 344
804 344 2.59 0 0.0 0 344
806 344 2.59 0 0.0 0 344
808 344 2.59 0 0.0 0 344
810 344 2.59 0 0.0 0 344
812 344 2.59 0 0.0 0 344
814 344 2.59 0 0.0 0 344
816 344 2.59 0 0.0 0 344
818 344 2.59 0 0.0 0 344
820 344 2.59 0 0.0 0 344
822 344 2.59 0 0.0 0 344
824 344 2.59 0 0.0 0 344
826 344 2.59 0 0.0 0 344
828 344 2.59 0 0.0 0 344
